PERMNO,date,PRC
52919,20070814,71.34000
52919,20070815,68.94000
52919,20070816,71.13000
52919,20070817,76.04000
52919,20070820,74.90000
52919,20070821,76.11000
52919,20070822,76.44000
52919,20070823,75.89000
52919,20070824,76.17000
52919,20070827,74.89000
52919,20070828,72.00000
52919,20070829,73.11000
52919,20070830,72.18000
52919,20070831,73.70000
52919,20070904,75.42000
52919,20070905,74.00000
52919,20070906,73.72000
52919,20070907,73.18000
52919,20070910,72.61000
52919,20070911,73.09000
52919,20070912,72.96000
52919,20070913,75.14000
52919,20070914,74.65000
52919,20070917,72.85000
52919,20070918,75.82500
52919,20070919,76.45000
52919,20070920,75.30000
52919,20070921,74.73000
52919,20070924,73.68000
52919,20070925,72.12000
52919,20070926,71.75000
52919,20070927,71.54000
52919,20070928,71.28000
52919,20071001,73.87000
52919,20071002,75.62000
52919,20071003,76.00000
52919,20071004,74.78000
52919,20071005,76.67000
52919,20071008,74.12000
52919,20071009,74.35000
52919,20071010,74.94000
52919,20071011,75.38000
52919,20071012,75.19000
52919,20071015,73.60000
52919,20071016,71.79000
52919,20071017,71.63000
52919,20071018,70.07000
52919,20071019,66.26000
52919,20071022,66.47000
52919,20071023,67.12000
52919,20071024,63.22000
52919,20071025,60.90000
52919,20071026,66.09000
52919,20071029,67.42000
52919,20071030,65.56000
52919,20071031,66.02000
52919,20071101,62.19000
52919,20071102,57.28000
52919,20071105,55.88000
52919,20071106,56.37000
52919,20071107,53.99000
52919,20071108,53.79000
52919,20071109,53.27000
52919,20071112,53.19000
52919,20071113,56.95000
52919,20071114,57.98000
52919,20071115,57.30000
52919,20071116,56.11000
52919,20071119,53.87000
52919,20071120,53.66000
52919,20071121,51.81000
52919,20071123,53.54000
52919,20071126,51.23000
52919,20071127,53.07000
52919,20071128,57.79000
52919,20071129,57.41000
52919,20071130,59.94000
52919,20071203,59.06000
52919,20071204,57.13000
52919,20071205,57.75000
52919,20071206,61.33000
52919,20071207,61.42000
52919,20071210,62.20000
52919,20071211,58.60760
52919,20071212,58.81000
52919,20071213,57.83000
52919,20071214,56.84000
52919,20071217,56.27000
52919,20071218,55.51000
52919,20071219,54.73000
52919,20071220,54.50000
52919,20071221,55.54000
52919,20071224,53.90000
52919,20071226,54.54000
52919,20071227,53.20000
52919,20071228,52.97000
52919,20071231,53.68000
52919,20080102,52.76000
52919,20080103,51.99000
52919,20080104,50.29000
52919,20080107,50.05000
52919,20080108,48.17000
52919,20080109,50.48000
52919,20080110,52.03000
52919,20080111,54.69000
52919,20080114,55.97000
52919,20080115,53.01000
52919,20080116,55.09000
52919,20080117,49.45000
52919,20080118,51.87000
52919,20080122,54.43000
52919,20080123,58.05000
52919,20080124,57.45000
52919,20080125,54.96000
52919,20080128,57.33000
52919,20080129,57.47000
52919,20080130,56.09000
52919,20080131,56.36000
